,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,89,237690,에스티팜,+89000,2,+5800,+6.97,100803,141846,+41043,+40.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,90,356890,싸이버원,+2805,2,+95,+3.51,4688,44181,+39493,+842.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,91,004000,롯데정밀화학,+35750,2,+600,+1.71,68918,107232,+38314,+55.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,92,476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,+10345,2,+5,+0.05,23725,61053,+37328,+157.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,93,457690,KODEX 33-06 국고채액티브,+11020,2,+60,+0.55,11074,45288,+34214,+308.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,94,032500,케이엠더블유,+8830,2,+190,+2.20,66878,99561,+32683,+48.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,95,482690,대신밸런스제19호스팩,-2000,5,-5,-0.25,24213,56230,+32017,+132.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,96,063570,한국전자금융,-4835,5,-30,-0.62,110438,141890,+31452,+28.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,97,052790,액토즈소프트,+7200,2,+280,+4.05,50069,81188,+31119,+62.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,98,471230,KODEX 국고채10년액티브,+113000,2,+565,+0.50,33413,62259,+28846,+86.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,99,118000,메타케어,-316,5,-4,-1.25,47793,75773,+27980,+58.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,100,496120,ACE 코리아밸류업,+9665,2,+20,+0.21,2135,30001,+27866,+1305.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,101,321820,아티스트유나이티드,+17920,2,+690,+4.00,199560,227229,+27669,+13.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,102,500030,신한 인버스 2X 은 선물 ETN(H),+953,2,+57,+6.36,29729,56735,+27006,+90.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,103,099750,이지케어텍,+18220,2,+1180,+6.92,10617,36724,+26107,+245.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,104,453330,RISE 미국S&P500(H),-14695,5,-50,-0.34,14626,40051,+25425,+173.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,105,066430,와이오엠,-521,5,-15,-2.80,13687,37315,+23628,+172.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,106,068050,팬엔터테인먼트,+2160,2,+65,+3.10,29254,52694,+23440,+80.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,107,143210,핸즈코퍼레이션,-1910,5,-13,-0.68,14338,37139,+22801,+159.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,108,090150,아이윈,+772,2,+12,+1.58,88131,110493,+22362,+25.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,109,950130,엑세스바이오,+5780,2,+140,+2.48,43783,65670,+21887,+49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,110,278620,PLUS 단기채권액티브,+115165,2,+50,+0.04,68,20908,+20840,+30647.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,111,000880,한화,+29500,2,+1650,+5.92,137361,158142,+20781,+15.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
